DATE,Avg Temperature,Min Temperature,Max Temperature,Precipitation,Average daily wind speed,Snowfall,Snow Depth
2015-12-09,4.7,0.93,6.88,0.11,2.45,0,0
2015-12-10,8.9,2.94,11.59,0.05,2.13,0,0
2015-12-11,9.6,4.31,14.4,0.02,2.6,0,0
2015-12-12,11.9,5.49,14.69,0.01,2.48,0,0
2015-12-13,10.4,6.5,13.61,0,2.23,0,0
2015-12-14,8.4,7.02,12.28,1.22,1.93,0,0
2015-12-15,12.7,7.64,14.91,14.71,5.85,0,0
2015-12-16,6.8,2.11,11.89,0.3,3.02,0,0
2015-12-17,6.6,0.92,9.19,2.06,3.27,0,0
2015-12-18,9.4,3.31,10.79,12.15,3.65,0,0
2015-12-19,3.6,-0.18,6.91,1.05,6.17,0,0
2015-12-20,2.1,-2.49,4.71,0,3.57,0,0
2015-12-21,5.3,-2.94,8.21,0.02,5.97,0,0
2015-12-22,11.3,5.16,13.02,1.49,3.55,0,0
2015-12-23,10.9,4.67,13.63,8.13,2.63,0,0
2015-12-24,12.6,7.09,17.13,23.82,3.2,0,0
2015-12-25,14.1,7.52,19.1,0.21,1.83,0,0
2015-12-26,9.7,3.93,15.27,0.01,2.6,0,0
2015-12-27,7.9,3.92,10.88,7.1,2.83,0,0
2015-12-28,1.9,-1.48,7.45,1.96,4.57,0,0
2015-12-29,0.7,-3.51,2.41,15.74,5.22,28.27,27
2015-12-30,-3.1,-4.57,1.12,10.66,2.02,5.57,22.25
2015-12-31,3.2,-2.55,4.9,3.04,3.07,0,16.45
